Country,Continent,HDI,Happiness,GDP_pc,Life_exp,Pop(m)
Afghanistan,ASIAP,LOW,3.632,601.252,60.5,2.878
Albania,AFR,HIGH,4.586,5319.279,77.8,43.851
Algeria,AFR,HIGH,5.295,4669.224,75.6,43.851
Angola,AFR,MEDIUM,3.795,4114.539,52.4,32.866
Argentina,AMER,V_HIGH,6.388,14043.675,76.3,45.196
Armenia,EUR,HIGH,4.321,4022.1,74.8,2.963
Australia,ASIAP,V_HIGH,7.272,59655.413,82.8,25.499
Austria,EUR,V_HIGH,7.139,53764.128,81.5,9.006
Azerbaijan,ASIAP,HIGH,5.201,4575.776,72.7,10.139
Bahrain,ASIAP,V_HIGH,6.105,25546.88,76.9,1.701
Bangladesh,ASIAP,MEDIUM,4.5,1733.513,71.8,164.689
Belarus,EUR,V_HIGH,5.483,6300.587,72.3,9.449
Belgium,EUR,V_HIGH,6.927,49271.967,81.1,11.589
Belize,AFR,HIGH,5.956,4830.014,70.1,0.397
Benin,AFR,LOW,4.141,966.363,60,12.123
Bhutan,ASIAP,MEDIUM,5.082,3117.847,69.8,0.771
Bolivia,AMER,HIGH,5.752,3621.795,70.7,11.673
Bosnia and Herzegovina,EUR,HIGH,5.129,5805.516,77.4,3.28
Botswana,AFR,HIGH,3.59,8443.106,65.7,2.351
Brazil,AMER,HIGH,6.419,10224.028,75,212.559
Bulgaria,EUR,V_HIGH,4.933,9226.602,74.5,6.948
Burkina Faso,AFR,LOW,4.424,750.625,59.9,20.903
Burundi,AFR,LOW,2.905,339.894,59.6,11.89
Cambodia,ASIAP,MEDIUM,4.433,1498.816,68.7,16.718
Cameroon,AFR,MEDIUM,4.975,1570.227,57.3,26.545
Canada,AMER,V_HIGH,7.328,48466.329,82.2,37.742
Central African Republic,AFR,LOW,3.083,425.964,52.5,4.829
Chad,AFR,LOW,4.301,919.603,53.1,16.425
Chile,AMER,V_HIGH,6.476,15087.311,80.5,19.116
China,ASIAP,HIGH,5.246,10087.827,76.1,1439.323
Colombia,AMER,HIGH,6.26,6581.387,74.8,50.882
Costa Rica,AMER,V_HIGH,7.072,12188.707,79.6,5.094
Croatia,EUR,V_HIGH,5.321,14788.357,78,4.105
Cyprus,EUR,V_HIGH,5.762,28682.363,80.5,1.207
Czech Republic,EUR,V_HIGH,6.711,23749.531,78.8,10.708
Democratic Rep of the Congo,AFR,MEDIUM,4.245,477.782,59.8,89.56
Denmark,EUR,V_HIGH,7.555,63829.704,80.6,5.792
Dominican Republic,AMER,HIGH,5.302,7830.202,73.9,10.847
Ecuador,AMER,HIGH,5.973,6263.192,76.2,17.643
Egypt,AFR,HIGH,4.419,2501,70.9,102.334
El Salvador,AMER,MEDIUM,6.167,4596.227,73.5,6.486
Estonia,EUR,V_HIGH,5.739,23610.453,77.6,1.326
Ethiopia,AFR,LOW,4.35,909.985,64.8,114.963
Finland,EUR,V_HIGH,7.632,52422.304,81.1,5.54
France,EUR,V_HIGH,6.489,44933.907,82.4,65.273
Gabon,AFR,HIGH,4.758,9029.672,66,2.225
Georgia,EUR,V_HIGH,4.34,4370.177,74.4,3.989
Germany,EUR,V_HIGH,6.965,50841.666,81,83.783
Ghana,AFR,MEDIUM,4.657,1779.893,62.4,31.072
Greece,EUR,V_HIGH,5.358,21144.184,81,10.423
Guatemala,AMER,MEDIUM,6.382,4770.736,71.9,17.915
Guinea,AFR,MEDIUM,3.964,816.45,59,13.132
Haiti,AMER,LOW,3.582,847.091,63.5,11.402
Honduras,AMER,MEDIUM,5.504,2851.21,74.6,9.904
Hong Kong,ASIAP,V_HIGH,5.43,48829.217,84.3,7.496
Hungary,EUR,V_HIGH,5.62,16722.598,75.9,9.66
Iceland,EUR,V_HIGH,7.495,84675.408,82.7,0.341
India,ASIAP,MEDIUM,4.19,2134.752,68.3,1380.004
Indonesia,ASIAP,HIGH,5.093,4051.65,69.1,273.523
Iran,ME,HIGH,4.707,5085.909,75.5,83.992
Iraq,ME,MEDIUM,4.456,5601.469,68.9,40.222
Ireland,EUR,V_HIGH,6.977,80641.171,81.4,4.937
Israel,ME,V_HIGH,7.19,42115.329,82.5,8.655
Italy,EUR,V_HIGH,6,35913.826,82.7,60.461
Ivory Coast,AFR,LOW,4.671,1879.904,53.5,26.38
Jamaica,AMER,HIGH,5.89,5334.535,76.2,2.961
Japan,ASIAP,V_HIGH,5.915,40849.21,83.7,126.476
Jordan,ME,HIGH,5.161,5837.503,74.1,10.203
Kazakhstan,ASIAP,V_HIGH,5.79,9708.82,70.2,18.776
Kenya,AFR,MEDIUM,4.41,1837.71,63.4,53.771
Kosovo,EUR,V_HIGH,5.662,4412.08,71.4,1.873
Kuwait,ME,V_HIGH,6.083,29879.781,74.7,4.27
Kyrgyzstan,ASIAP,MEDIUM,5.131,1187.714,71.1,6.524
Laos,ASIAP,MEDIUM,4.623,2705.899,65.7,7.275
Latvia,EUR,V_HIGH,5.933,18472.193,74.6,1.886
Lebanon,ME,HIGH,5.199,11775.155,74.9,6.825
Lesotho,AFR,LOW,3.808,1499.096,53.7,2.142
Liberia,AFR,LOW,3.495,722.263,61.4,5.507
Libya,AFR,HIGH,5.566,6699.897,72.7,6.871
Lithuania,EUR,V_HIGH,5.952,19534.021,73.6,2.722
Luxembourg,EUR,V_HIGH,6.91,120060.558,82,0.625
Macedonia,EUR,HIGH,5.185,6295.11,75.7,2.083
Madagascar,AFR,LOW,3.774,479.047,65.5,27.691
Malawi,AFR,LOW,3.587,342.061,58.3,19.129
Malaysia,ASIAP,V_HIGH,6.322,11237.421,75,32.365
Mali,AFR,LOW,4.447,917.479,58.2,20.25
Malta,EUR,V_HIGH,6.627,31847.59,81.7,0.441
Mauritania,AFR,LOW,4.356,1368.99,63.1,4.649
Mauritius,ASIAP,V_HIGH,5.891,10437.074,74.6,1.271
Mexico,AMER,HIGH,6.488,9723.043,76.7,128.932
Moldova,EUR,HIGH,5.64,2596.435,72.1,4.033
Mongolia,ASIAP,HIGH,5.125,4029.339,68.8,3.278
Montenegro,EUR,V_HIGH,5.347,8898.152,76.1,0.628
Morocco,AFR,MEDIUM,5.254,3435.475,74.3,36.91
Mozambique,AFR,LOW,4.417,472.044,57.6,31.255
Myanmar,ASIAP,MEDIUM,4.308,1338.488,66.6,54.409
Namibia,AFR,MEDIUM,4.441,5627.102,65.8,2.54
Nepal,ASIAP,MEDIUM,4.88,918.986,69.2,30.03
Netherlands,EUR,V_HIGH,7.441,55185.49,81.9,17.134
New Zealand,ASIAP,V_HIGH,7.324,44639.124,81.6,4.822
Nicaragua,AMER,MEDIUM,6.141,2309.74,74.8,6.624
Niger,AFR,LOW,4.166,510.323,61.8,24.206
Nigeria,AFR,LOW,5.155,2107.61,54.5,206.139
Northern Cyprus,EUR,V_HIGH,5.835,15109,74.1,0.326
Norway,EUR,V_HIGH,7.594,82710.715,81.8,5.421
Pakistan,ASIAP,MEDIUM,5.472,1629,66.4,220.892
